Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
202507,01,047,3,6,Dallas County                                               ,1,1,97853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,049,3,6,DeKalb County                                               ,2,2,467528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,051,3,6,Elmore County                                               ,10,10,2466824,0,0,0,0,0,0,0,0,0,8,8,1970492,0,0,0,0,0,0,0,0,0
202507,01,053,3,6,Escambia County                                             ,2,2,166543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,055,3,6,Etowah County                                               ,9,9,1792660,0,0,0,0,0,0,0,0,0,5,5,1350460,0,0,0,0,0,0,0,0,0
202507,01,057,3,6,Fayette County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,059,3,6,Franklin County                                             ,1,1,114000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,061,3,6,Geneva County                                               ,2,2,295760,0,0,0,0,0,0,0,0,0,1,1,170000,0,0,0,0,0,0,0,0,0
202507,01,063,3,6,Greene County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,065,3,6,Hale County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,067,3,6,Henry County                                                ,1,1,280000,0,0,0,0,0,0,0,0,0,1,1,280000,0,0,0,0,0,0,0,0,0
202507,01,069,3,6,Houston County                                              ,30,30,9339095,0,0,0,0,0,0,0,0,0,15,15,5762915,0,0,0,0,0,0,0,0,0
202507,01,071,3,6,Jackson County                                              ,3,3,935609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,073,3,6,Jefferson County                                            ,159,159,58301305,1,2,1031629,0,0,0,1,49,9233725,132,132,53708456,0,0,0,0,0,0,0,0,0
202507,01,075,3,6,Lamar County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,077,3,6,Lauderdale County                                           ,13,13,1304626,0,0,0,1,4,980000,2,16,980000,11,11,1204626,0,0,0,1,4,980000,2,16,980000
202507,01,079,3,6,Lawrence County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,081,3,6,Lee County                                                  ,94,94,24213127,0,0,0,0,0,0,0,0,0,94,94,24213127,0,0,0,0,0,0,0,0,0
202507,01,083,3,6,Limestone County                                            ,57,57,16872951,1,2,159080,0,0,0,0,0,0,57,57,16872951,1,2,159080,0,0,0,0,0,0
202507,01,085,3,6,Lowndes County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,087,3,6,Macon County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,089,3,6,Madison County                                              ,248,248,69515742,1,2,323152,0,0,0,0,0,0,115,115,36563176,1,2,323152,0,0,0,0,0,0
202507,01,091,3,6,Marengo County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,093,3,6,Marion County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,095,3,6,Marshall County                                             ,14,14,2758967,0,0,0,0,0,0,0,0,0,6,6,1434000,0,0,0,0,0,0,0,0,0
202507,01,097,3,6,Mobile County                                               ,115,115,33434059,0,0,0,0,0,0,0,0,0,113,113,32783882,0,0,0,0,0,0,0,0,0
202507,01,099,3,6,Monroe County                                               ,0,0,0,0,0,0,0,0,0,1,5,1145833,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,101,3,6,Montgomery County                                           ,42,42,11424508,0,0,0,0,0,0,1,5,620426,24,24,7885372,0,0,0,0,0,0,0,0,0
202507,01,103,3,6,Morgan County                                               ,16,16,2590837,0,0,0,0,0,0,0,0,0,15,15,2292491,0,0,0,0,0,0,0,0,0
202507,01,105,3,6,Perry County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,107,3,6,Pickens County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,109,3,6,Pike County                                                 ,5,5,1218000,0,0,0,0,0,0,0,0,0,5,5,1218000,0,0,0,0,0,0,0,0,0
202507,01,111,3,6,Randolph County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,113,3,6,Russell County                                              ,6,6,1607278,0,0,0,0,0,0,0,0,0,6,6,1607278,0,0,0,0,0,0,0,0,0
202507,01,115,3,6,St. Clair County                                            ,35,35,8386323,0,0,0,0,0,0,0,0,0,28,28,6876720,0,0,0,0,0,0,0,0,0
202507,01,117,3,6,Shelby County                                               ,60,60,20784920,0,0,0,0,0,0,0,0,0,48,48,17893128,0,0,0,0,0,0,0,0,0
202507,01,119,3,6,Sumter County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,121,3,6,Talladega County                                            ,25,25,4948570,0,0,0,0,0,0,1,6,943680,25,25,4948570,0,0,0,0,0,0,1,6,943680
202507,01,123,3,6,Tallapoosa County                                           ,16,16,12101226,0,0,0,0,0,0,0,0,0,4,4,5682000,0,0,0,0,0,0,0,0,0
202507,01,125,3,6,Tuscaloosa County                                           ,34,34,9834855,1,2,201501,1,3,545691,1,7,1076518,3,3,1146033,0,0,0,0,0,0,0,0,0
202507,01,127,3,6,Walker County                                               ,2,2,290000,0,0,0,0,0,0,0,0,0,2,2,290000,0,0,0,0,0,0,0,0,0
202507,01,129,3,6,Washington County                                           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,131,3,6,Wilcox County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,133,3,6,Winston County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,013,4,9,Aleutians East Borough                                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,016,4,9,Aleutians West Census Area                                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,020,4,9,Anchorage Municipality                                      ,14,14,5827280,2,4,838025,1,3,447867,1,7,1290630,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,050,4,9,Bethel Census Area                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,060,4,9,Bristol Bay Borough                                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,063,4,9,Chugach Census Area                                         ,1,1,206500,1,2,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,070,4,9,Dillingham Census Area                                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,090,4,9,Fairbanks North Star Borough                                ,0,0,0,1,2,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,100,4,9,Haines Borough                                              ,1,1,416234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,105,4,9,Hoonah-Angoon Census Area                                   ,1,1,296519,0,0,0,0,0,0,0,0,0,1,1,296519,0,0,0,0,0,0,0,0,0
202507,02,110,4,9,Juneau City and Borough                                     ,6,6,1044250,0,0,0,0,0,0,1,6,2037236,6,6,1044250,0,0,0,0,0,0,1,6,2037236
202507,02,122,4,9,Kenai Peninsula Borough                                     ,11,11,5301528,0,0,0,0,0,0,0,0,0,9,9,4720000,0,0,0,0,0,0,0,0,0
202507,02,130,4,9,Ketchikan Gateway Borough                                   ,2,2,832469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,150,4,9,Kodiak Island Borough                                       ,2,2,1617841,0,0,0,0,0,0,0,0,0,2,2,1617841,0,0,0,0,0,0,0,0,0
202507,02,170,4,9,Matanuska-Susitna Borough                                   ,3,3,1015795,1,2,412839,0,0,0,0,0,0,1,1,233959,0,0,0,0,0,0,0,0,0
202507,02,180,4,9,Nome Census Area                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,185,4,9,North Slope Borough                                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,188,4,9,Northwest Arctic Borough                                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,195,4,9,Petersburg Borough                                          ,1,1,399063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,198,4,9,Prince of Wales-Hyder Census Area                           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,220,4,9,Sitka City and Borough                                      ,1,1,218007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,230,4,9,Skagway Municipality                                        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,275,4,9,Wrangell City and Borough                                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,282,4,9,Yakutat City and Borough                                    ,1,1,193167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,290,4,9,Yukon-Koyukuk Census Area                                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,04,001,4,8,Apache County                                               ,8,8,1413805,0,0,0,0,0,0,0,0,0,7,7,1126207,0,0,0,0,0,0,0,0,0
202507,04,003,4,8,Cochise County                                              ,32,32,4779123,0,0,0,0,0,0,0,0,0,30,30,4562852,0,0,0,0,0,0,0,0,0
202507,04,005,4,8,Coconino County                                             ,22,22,10578993,1,2,481597,0,0,0,2,31,3735360,1,1,291549,0,0,0,0,0,0,0,0,0
202507,04,007,4,8,Gila County                                                 ,12,12,3644078,0,0,0,0,0,0,0,0,0,12,12,3644078,0,0,0,0,0,0,0,0,0
202507,04,009,4,8,Graham County                                               ,16,16,4402434,1,2,295000,0,0,0,0,0,0,16,16,4402434,1,2,295000,0,0,0,0,0,0
202507,04,011,4,8,Greenlee County                                             ,2,2,539970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,04,012,4,8,La Paz County                                               ,3,3,407750,0,0,0,0,0,0,0,0,0,2,2,300000,0,0,0,0,0,0,0,0,0
202507,04,013,4,8,Maricopa County                                             ,1200,1200,429569027,36,72,11627423,1,3,900000,54,1663,271160826,1183,1183,425719101,36,72,11627423,1,3,900000,52,1550,252831881
202507,04,015,4,8,Mohave County                                               ,157,157,33854141,0,0,0,0,0,0,0,0,0,26,26,7114978,0,0,0,0,0,0,0,0,0
202507,04,017,4,8,Navajo County                                               ,44,44,12788068,1,2,269420,0,0,0,0,0,0,37,37,10450207,0,0,0,0,0,0,0,0,0
202507,04,019,4,8,Pima County                                                 ,256,256,97223670,1,2,237727,0,0,0,3,48,7203310,193,193,81163631,0,0,0,0,0,0,0,0,0
202507,04,021,4,8,Pinal County                                                ,544,544,122244874,0,0,0,0,0,0,3,174,26837586,463,463,101020703,0,0,0,0,0,0,3,174,26837586
202507,04,023,4,8,Santa Cruz County                                           ,35,35,9281706,0,0,0,0,0,0,0,0,0,35,35,9281706,0,0,0,0,0,0,0,0,0
202507,04,025,4,8,Yavapai County                                              ,125,125,51219694,8,16,3523203,3,12,2172532,0,0,0,118,118,48909848,8,16,3523203,3,12,2172532,0,0,0
202507,04,027,4,8,Yuma County                                                 ,37,37,6807587,0,0,0,0,0,0,0,0,0,35,35,6501619,0,0,0,0,0,0,0,0,0
202507,05,001,3,7,Arkansas County                                             ,1,1,89999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,003,3,7,Ashley County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,005,3,7,Baxter County                                               ,3,3,97000,0,0,0,0,0,0,0,0,0,3,3,97000,0,0,0,0,0,0,0,0,0
202507,05,007,3,7,Benton County                                               ,391,391,130277893,13,26,4529084,0,0,0,2,13,959279,290,290,103850264,10,20,3722813,0,0,0,0,0,0
202507,05,009,3,7,Boone County                                                ,1,1,101786,1,2,350000,0,0,0,1,5,555556,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,011,3,7,Bradley County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,013,3,7,Calhoun County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,015,3,7,Carroll County                                              ,1,1,279361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,017,3,7,Chicot County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,019,3,7,Clark County                                                ,1,1,397000,0,0,0,0,0,0,0,0,0,1,1,397000,0,0,0,0,0,0,0,0,0
202507,05,021,3,7,Clay County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,023,3,7,Cleburne County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,025,3,7,Cleveland County                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,027,3,7,Columbia County                                             ,1,1,111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,029,3,7,Conway County                                               ,1,1,127772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,031,3,7,Craighead County                                            ,48,48,7917158,4,8,550283,5,20,1444450,1,5,283722,3,3,621017,0,0,0,1,4,615150,0,0,0
202507,05,033,3,7,Crawford County                                             ,5,5,1740615,2,4,270000,0,0,0,0,0,0,5,5,1740615,2,4,270000,0,0,0,0,0,0
202507,05,035,3,7,Crittenden County                                           ,3,3,859045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,037,3,7,Cross County                                                ,1,1,41667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,039,3,7,Dallas County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,041,3,7,Desha County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,043,3,7,Drew County                                                 ,0,0,0,1,2,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,045,3,7,Faulkner County                                             ,43,43,8727925,0,0,0,0,0,0,0,0,0,40,40,7903174,0,0,0,0,0,0,0,0,0
202507,05,047,3,7,Franklin County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,049,3,7,Fulton County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,051,3,7,Garland County                                              ,7,7,1694000,0,0,0,0,0,0,0,0,0,7,7,1694000,0,0,0,0,0,0,0,0,0
202507,05,053,3,7,Grant County                                                ,3,3,466365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,055,3,7,Greene County                                               ,5,5,1092500,2,4,419330,0,0,0,0,0,0,5,5,1092500,2,4,419330,0,0,0,0,0,0
202507,05,057,3,7,Hempstead County                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,059,3,7,Hot Spring County                                           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,061,3,7,Howard County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,063,3,7,Independence County                                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,065,3,7,Izard County                                                ,1,1,135766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,067,3,7,Jackson County                                              ,1,1,302641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,069,3,7,Jefferson County                                            ,8,8,1133462,0,0,0,0,0,0,0,0,0,7,7,985000,0,0,0,0,0,0,0,0,0
202507,05,071,3,7,Johnson County                                              ,1,1,286434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,073,3,7,Lafayette County                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,075,3,7,Lawrence County                                             ,4,4,1082650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,077,3,7,Lee County                                                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,079,3,7,Lincoln County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,081,3,7,Little River County                                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,083,3,7,Logan County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,085,3,7,Lonoke County                                               ,11,11,2725077,0,0,0,1,4,250000,0,0,0,11,11,2725077,0,0,0,1,4,250000,0,0,0
202507,05,087,3,7,Madison County                                              ,2,2,505000,0,0,0,0,0,0,0,0,0,2,2,505000,0,0,0,0,0,0,0,0,0
202507,05,089,3,7,Marion County                                               ,15,15,3025200,0,0,0,0,0,0,0,0,0,15,15,3025200,0,0,0,0,0,0,0,0,0
202507,05,091,3,7,Miller County                                               ,4,4,11154,0,0,0,0,0,0,0,0,0,4,4,11154,0,0,0,0,0,0,0,0,0
202507,05,093,3,7,Mississippi County                                          ,6,6,1091139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,095,3,7,Monroe County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,099,3,7,Nevada County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,101,3,7,Newton County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,103,3,7,Ouachita County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,105,3,7,Perry County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,107,3,7,Phillips County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,111,3,7,Poinsett County                                             ,5,5,1022064,1,2,150000,1,3,241636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,113,3,7,Polk County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,115,3,7,Pope County                                                 ,5,5,1558271,0,0,0,0,0,0,0,0,0,3,3,1282200,0,0,0,0,0,0,0,0,0
202507,05,117,3,7,Prairie County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,119,3,7,Pulaski County                                              ,122,122,26294217,4,8,890000,0,0,0,1,8,940000,122,122,26294217,4,8,890000,0,0,0,1,8,940000
202507,05,121,3,7,Randolph County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,123,3,7,St. Francis County                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,125,3,7,Saline County                                               ,41,41,11687423,0,0,0,0,0,0,0,0,0,34,34,9714789,0,0,0,0,0,0,0,0,0
202507,05,127,3,7,Scott County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,129,3,7,Searcy County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,131,3,7,Sebastian County                                            ,9,9,2211027,17,34,3740370,1,3,901440,7,112,10002600,7,7,1611650,17,34,3740370,0,0,0,7,112,10002600
202507,05,133,3,7,Sevier County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,135,3,7,Sharp County                                                ,2,2,344373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,137,3,7,Stone County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,139,3,7,Union County                                                ,1,1,174800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,141,3,7,Van Buren County                                            ,1,1,300000,0,0,0,0,0,0,0,0,0,1,1,300000,0,0,0,0,0,0,0,0,0
202507,05,143,3,7,Washington County                                           ,145,145,48375663,6,12,2646000,0,0,0,0,0,0,142,142,46765428,6,12,2646000,0,0,0,0,0,0
202507,05,145,3,7,White County                                                ,31,31,4921749,0,0,0,0,0,0,0,0,0,30,30,4796749,0,0,0,0,0,0,0,0,0
202507,05,147,3,7,Woodruff County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,05,149,3,7,Yell County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,06,001,4,9,Alameda County                                              ,91,91,32807041,2,4,862429,1,4,1130216,3,24,4443198,75,75,27252427,0,0,0,1,4,1130216,1,5,1048235
202507,06,003,4,9,Alpine County                                               ,1,1,600000,0,0,0,0,0,0,0,0,0,1,1,600000,0,0,0,0,0,0,0,0,0
202507,06,005,4,9,Amador County                                               ,9,9,2101244,0,0,0,0,0,0,0,0,0,5,5,715000,0,0,0,0,0,0,0,0,0
202507,06,007,4,9,Butte County                                                ,61,61,11675005,1,2,155495,0,0,0,1,6,524555,16,16,3120249,0,0,0,0,0,0,0,0,0
202507,06,009,4,9,Calaveras County                                            ,8,8,3187354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,06,011,4,9,Colusa County                                               ,2,2,1142172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,06,013,4,9,Contra Costa County                                         ,72,72,20735642,0,0,0,0,0,0,1,5,2263138,61,61,16170613,0,0,0,0,0,0,0,0,0
202507,06,015,4,9,Del Norte County                                            ,2,2,650791,1,2,529946,0,0,0,1,14,4424386,0,0,0,0,0,0,0,0,0,0,0,0
202507,06,017,4,9,El Dorado County                                            ,36,36,16472996,0,0,0,0,0,0,0,0,0,34,34,15631375,0,0,0,0,0,0,0,0,0
202507,06,019,4,9,Fresno County                                               ,184,184,63178763,1,2,756250,0,0,0,0,0,0,171,171,57870824,1,2,756250,0,0,0,0,0,0
